编号,品牌,商品名,类别,规格,份量(每次),能量(kJ/份),能量(kcal/份),蛋白质(g/份),脂肪(g/份),碳水化合物(g/份),主要活性成分(每份),备注
66,诺特兰德,BCAA片,BCAA,280粒,4片,0,0,0,0,0,BCAA 4g,
67,汤臣倍健,BCAA胶囊,BCAA,140粒,4粒,42,10,2.5,0,0,支链氨基酸2.5g,
68,肌肉科技,BCAA Elite,BCAA,381g,9.5g,42,10,2.5,0,0,亮氨酸5g 3:1:2比例,
69,BSN,Amino-X氨基酸,BCAA/EAA,435g,14.5g,84,20,5,0,2,BCAA+谷氨酰胺+丙氨酸,
70,北欧海盗,BCAA粉,BCAA,300g,7.5g,33,8,2,0,0,BCAA 5g,
71,康比特,BCAA+谷氨酰胺,BCAA,300g,10g,42,10,2.5,0,0,BCAA 5g+谷氨酰胺2g,
72,Scitec Nutrition,BCAA Pro,BCAA,300g,7g,33,8,1.8,0,0,,
73,天博,BCAA 8:1:1,BCAA,500g,10g,42,10,2.5,0,0,高亮氨酸比例8:1:1,
74,ON,Essential Amino Energy,EAA/氮泵,270g,9g,84,20,5,0,2,EAA 5g+咖啡因65mg,
75,Dymatize,All9 Amino EAA,EAA,405g,15g,250,60,15,0,3,全部9种必需氨基酸15g,
76,Scitec Nutrition,Essential Amino,EAA,300g,10g,167,40,10,0,1,EAA 10g,
77,诺特兰德,EAA必需氨基酸粉,EAA,300g,10g,167,40,10,0,1,,
78,训练怪兽,EAA粉,EAA,240g,10g,167,40,10,0,1,,
79,ON,谷氨酰胺粉,谷氨酰胺,1kg,5g,21,5,1.25,0,0,L-谷氨酰胺5000mg,
80,诺特兰德,谷氨酰胺粉,谷氨酰胺,500g,5g,21,5,1.25,0,0,,
81,汤臣倍健,谷氨酰胺胶囊,谷氨酰胺,60粒,2粒,21,5,1.25,0,0,谷氨酰胺1000mg,
82,NOW Foods,谷氨酰胺粉,谷氨酰胺,454g,5g,21,5,1.25,0,0,美国进口,
83,康比特,谷氨酰胺,谷氨酰胺,250g,5g,21,5,1.25,0,0,,
84,肌肉科技,NITRO-TECH硬核氮泵,氮泵,390g,13g,42,10,0,0,1,咖啡因200mg+精氨酸3g+Beta丙氨酸1.6g,
85,C4,C4 Original氮泵,氮泵,195g,6.5g,25,6,0,0,1,咖啡因150mg+Beta丙氨酸1.6g+肌酸1.5g,
86,C4,C4 Sport运动氮泵,氮泵,231g,9.6g,42,10,0,0,2,咖啡因135mg+肌酸3g,
87,Pre-JYM,Pre-JYM全谱前训,氮泵,630g,26g,125,30,0,0,5,咖啡因300mg+肌酸5g+Beta丙氨酸2g,
88,北欧海盗,氮泵前训粉,氮泵,300g,10g,42,10,0,0,2,咖啡因200mg,
89,诺特兰德,爆炸氮泵,氮泵,300g,12g,42,10,0,0,2,咖啡因180mg+精氨酸,
90,训练怪兽,终极氮泵,氮泵,300g,10g,42,10,0,0,2,咖啡因200mg+精氨酸AKG,
91,康比特,强力氮泵,氮泵,300g,12g,42,10,0,0,2,咖啡因175mg,
92,Ghost,Ghost Legend Pre前训,氮泵,348g,13.6g,84,20,0,0,4,咖啡因200mg+牛磺酸1g,
93,BSN,N.O.-Xplode氮泵,氮泵,1.22kg,14g,84,20,0,0,3,咖啡因200mg+Beta丙氨酸1.6g,
94,汤臣倍健,运动前能量粉,氮泵,180g,9g,84,20,0,0,4,咖啡因80mg+B族维生素,
95,Rule1,R1 Pre氮泵,氮泵,234g,7.8g,25,6,0,0,1,咖啡因200mg,
96,Cellucor,Super HD脂燃氮泵,氮泵/减脂,120粒,2粒,25,6,0,0,1,咖啡因200mg+绿茶提取物,
97,星期一,前训粉,氮泵,270g,9g,42,10,0,0,2,咖啡因150mg+Beta丙氨酸1.6g,
98,天博,强效前训,氮泵,300g,10g,42,10,0,0,2,咖啡因200mg+精氨酸2g,
99,诺特兰德,左旋肉碱液体,左旋肉碱,500ml,20ml,42,10,0,0,2,L-肉碱2000mg,
100,汤臣倍健,左旋肉碱片,左旋肉碱,90片,3片,21,5,0,0,1,L-肉碱750mg,
101,康比特,L-肉碱胶囊,左旋肉碱,60粒,2粒,0,0,0,0,0,L-肉碱1000mg,
102,GNC,左旋肉碱500,左旋肉碱,60片,1片,0,0,0,0,0,L-肉碱500mg,
103,肌肉科技,白金左旋肉碱,左旋肉碱,180片,3片,0,0,0,0,0,L-肉碱750mg,
104,NOW Foods,左旋肉碱1000,左旋肉碱,100粒,1粒,0,0,0,0,0,L-肉碱1000mg,
105,自然之宝,左旋肉碱250,左旋肉碱,90片,1片,0,0,0,0,0,L-肉碱250mg,
106,训练怪兽,肉碱液,左旋肉碱,500ml,20ml,84,20,0,0,4,L-肉碱2000mg,
107,诺特兰德,CLA共轭亚油酸,减脂补剂,90粒,3粒,84,20,0,2,0,CLA 3000mg,
108,Now Foods,CLA软胶囊,减脂补剂,90粒,3粒,84,20,0,2,0,CLA 2250mg,
109,Swisse,胶原蛋白粉,胶原蛋白,400g,10g,167,40,10,0,0,水解胶原蛋白肽10000mg+维生素C,
110,汤臣倍健,胶原蛋白粉,胶原蛋白,300g,10g,167,40,9.5,0,0,鱼胶原蛋白肽10000mg,
111,星期一,胶原蛋白肽粉,胶原蛋白,200g,10g,167,40,9.5,0,0,小分子鱼胶原肽,
112,诺特兰德,胶原蛋白肽,胶原蛋白,500g,10g,167,40,9.5,0,0,,
113,健力多,氨糖+胶原蛋白,关节补剂,90粒,3粒,84,20,4,0,1,氨糖1500mg+胶原蛋白1000mg,
114,健力多,蛋壳膜胶囊,关节补剂,60粒,2粒,0,0,0,0,0,蛋壳膜500mg+透明质酸10mg,
115,自然之宝,超强氨糖,关节补剂,120粒,3片,0,0,0,0,0,氨糖1500mg+软骨素1200mg,
116,Move Free,维骨力氨糖,关节补剂,120粒,2粒,0,0,0,0,0,氨糖750mg+MSM400mg+透明质酸,
117,诺特兰德,电解质粉,电解质,300g,5g,0,0,0,0,0,钠460mg+钾150mg+镁50mg,
118,康比特,运动电解质粉,电解质,300g,6g,25,6,0,0,1.5,钠400mg+钾150mg+镁50mg,
119,Nuun,固体电解质泡腾片,电解质,10片/管,1片,25,6,0,0,1,钠300mg+钾150mg+镁25mg+钙13mg,
120,博多力,BCAA+电解质粉,电解质/BCAA,300g,10g,42,10,0.5,0,2,BCAA 5g+钠500mg+钾200mg+镁100mg,
