编号,品牌,商品名,类别,规格(g),能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
118,乐天,杏仁巧克力饼干棒,饼干/巧克力,54,2200,526,7.0,30.0,60.0,32.0,200,
119,明治,草莓百奇,饼干/巧克力,50,2000,478,6.0,20.0,68.0,30.0,220,
120,明治,巧克力百奇,饼干/巧克力,50,2050,490,6.5,21.0,68.0,35.0,210,
121,零食很忙,黑巧克力,巧克力,100,2380,569,7.5,42.0,46.0,35.0,30,85%可可
122,周黑鸭,卤鸭脖,卤味,100,900,215,15.0,13.5,10.5,6.0,980,去骨可食部
123,周黑鸭,卤鸭翅,卤味,100,850,203,14.0,12.0,11.0,6.0,900,
124,周黑鸭,卤鸭爪,卤味,100,700,167,13.0,8.0,12.0,5.0,850,
125,周黑鸭,卤鸡腿,卤味,100,800,191,16.0,10.0,10.0,5.5,920,
126,周黑鸭,卤藕片,卤味,100,300,72,2.0,1.5,14.0,4.0,700,素食卤味
127,绝味,鸭脖,卤味,100,880,210,15.0,13.0,10.0,5.5,1050,
128,绝味,鸭翅,卤味,100,820,196,14.0,11.5,10.5,5.5,980,
129,绝味,鸭锁骨,卤味,100,750,179,14.0,10.0,10.0,5.0,900,
130,煌上煌,酱鸭,卤味,100,870,208,14.5,12.5,11.0,6.0,1100,
131,煌上煌,鸭舌,卤味,100,820,196,18.0,10.0,8.0,4.0,1200,高蛋白
132,盐津铺子,鱼豆腐,素食/卤味,20,800,191,10.0,8.0,18.0,5.0,1200,
133,盐津铺子,鸭脖,卤味,100,900,215,15.0,13.0,10.0,5.5,1050,
134,盐津铺子,麻辣豆腐干,豆制品,20,820,196,12.0,10.0,15.0,3.0,1100,
135,盐津铺子,酸辣鸭肫,卤味,100,750,179,18.0,8.0,10.0,4.0,1300,
136,良品铺子,卤鸭脖,卤味,100,880,210,15.0,13.0,10.0,5.5,1000,
137,良品铺子,麻辣牛肉干,肉干零食,30,1500,358,40.0,15.0,20.0,8.0,2000,高蛋白
138,良品铺子,猪肉脯,肉干零食,22,1500,358,38.0,14.0,22.0,16.0,1500,
139,良品铺子,鱼豆腐,素食,20,810,194,10.0,8.5,18.0,5.0,1150,
140,良品铺子,碧根果,坚果,36,2600,621,9.0,64.0,14.0,4.0,1,
141,旺旺,饭团,膨化食品,200,1900,454,6.0,19.0,68.0,3.0,560,咸味米果
142,三只松鼠,夏威夷果,坚果,100,2840,679,9.5,77.0,8.0,4.5,8,坚果
143,三只松鼠,腰果,坚果,100,2530,605,18.0,49.0,30.0,5.0,20,
144,三只松鼠,开心果,坚果,100,2520,602,20.0,45.0,28.0,7.0,270,含盐
145,三只松鼠,碧根果,坚果,100,2600,621,9.0,64.0,14.0,4.0,1,原味
146,三只松鼠,每日坚果,坚果,25,2350,562,10.0,45.0,35.0,12.0,30,混合装
147,三只松鼠,炒花生,坚果,100,2300,550,25.0,45.0,22.0,3.0,400,咸味
148,三只松鼠,芝麻花生,坚果,100,2350,562,23.0,45.0,24.0,5.0,350,
149,三只松鼠,巴旦木,坚果,100,2500,598,22.0,53.0,16.0,4.0,5,原味
150,三只松鼠,奶油味瓜子,坚果/种子,100,2400,574,20.0,50.0,20.0,3.0,400,葵花籽
151,洽洽,香瓜子,坚果/种子,100,2450,586,21.0,52.0,18.0,2.0,450,葵花籽
152,洽洽,小而香西瓜子,坚果/种子,100,2380,569,21.0,49.0,20.0,3.0,420,
153,洽洽,每日坚果,坚果,25,2400,574,11.0,48.0,32.0,12.0,30,混合装
154,洽洽,奶油味花生,坚果,100,2320,555,25.0,45.0,22.0,3.0,450,
155,盐津铺子,南瓜子,坚果/种子,100,2450,586,31.0,50.0,10.0,2.0,60,原味
156,百草味,混合坚果,坚果,25,2370,566,10.0,47.0,33.0,12.0,40,
157,百草味,牛肉干,肉干零食,25,1500,358,40.0,15.0,20.0,8.0,1800,
158,百草味,猪肉脯,肉干零食,22,1480,354,35.0,14.0,24.0,18.0,1500,
159,百草味,蟹黄味瓜子,坚果/种子,100,2380,569,21.0,50.0,18.0,2.0,500,调味
160,百草味,蔓越莓干,蜜饯,100,1450,347,1.0,1.0,83.0,72.0,30,
161,靖江,猪肉脯,肉干零食,22,1500,358,35.0,14.0,24.0,18.0,1500,
162,靖江,牛肉干麻辣,肉干零食,30,1480,354,40.0,14.0,20.0,8.0,1800,
163,辣条大王,鸡肉脯,肉干零食,25,1400,335,35.0,10.0,26.0,15.0,1200,
164,江中,草本健胃饼干,饼干,100,1800,430,8.0,13.0,72.0,5.0,500,功能饼干
165,达利,虎皮蛋糕,蛋糕糕点,45,1350,323,5.5,10.0,53.0,20.0,280,
166,达利,面包,蛋糕糕点,68,1200,287,8.0,7.0,52.0,12.0,400,
167,桃李,软欧包,蛋糕糕点,100,1300,311,8.0,9.0,54.0,10.0,380,
168,桃李,切片面包,蛋糕糕点,500,1050,251,9.0,4.0,47.0,6.0,400,全麦款
169,盼盼,法式小面包,蛋糕糕点,65,1320,315,7.0,9.5,54.0,14.0,360,
170,盼盼,麦香鸡味面包,蛋糕糕点,65,1300,311,7.5,9.0,54.0,13.0,380,
171,嘉顿,沙示饼干,饼干,135,1980,473,7.0,22.0,65.0,8.0,600,
172,康元,葱香苏打饼干,饼干,200,1820,435,8.0,14.0,72.0,2.0,800,
173,麦当劳,麦辣鸡腿堡薯条,快餐,135,1960,468,4.5,24.0,59.0,0.5,590,薯条部分
174,尤里斯,蔓越莓曲奇,曲奇,200,2200,526,5.0,28.0,63.0,30.0,300,
175,皇冠,丹麦曲奇,曲奇,681,2200,526,5.5,29.0,63.0,28.0,380,蓝罐
176,皇冠,巧克力曲奇,曲奇,100,2180,521,5.0,28.5,63.0,30.0,350,
177,布列塔尼,黄油曲奇,曲奇,125,2230,533,6.0,30.0,61.0,26.0,350,法式黄油
178,奇华,合桃酥,曲奇,400,2100,502,8.0,25.0,62.0,20.0,300,核桃酥
179,珍妮曲奇,手工曲奇,曲奇,200,2250,538,6.0,31.0,60.0,28.0,280,香港网红
180,乐事,无限薯片桶装,薯片,110,2180,521,5.5,32.0,55.5,2.0,600,
181,Lay's,蜂蜜黄油味,薯片,70,2200,526,5.5,33.0,55.0,3.0,550,韩式口味
182,好丽友,奥邦派,蛋糕糕点,25,1900,454,4.0,23.0,58.0,25.0,300,
183,好丽友,福中福蛋糕卷,蛋糕糕点,18,1750,418,4.5,18.0,62.0,28.0,280,
184,华美,蛋黄月饼,糕点,50,1750,418,7.0,19.0,60.0,30.0,230,广式月饼
185,美心,双黄白莲蓉月饼,糕点,180,1800,430,8.0,20.0,60.0,28.0,350,广式
186,五仁月饼,传统五仁,糕点,100,1750,418,8.0,18.0,62.0,25.0,300,苏式
187,稻香村,驴打滚,糕点,100,900,215,3.0,2.0,47.0,20.0,100,传统北京糕点
188,稻香村,萨其马,糕点,100,1800,430,8.0,18.0,68.0,30.0,250,
189,稻香村,绿豆糕,糕点,65,1450,347,5.0,8.0,68.0,30.0,100,
190,稻香村,枣泥卷,糕点,100,900,215,3.5,2.0,46.0,20.0,90,
191,桂顺斋,黑芝麻糊,糕点,500,1600,382,9.0,12.0,68.0,25.0,200,粉末状冲泡
192,思念,汤圆芝麻,速冻糕点,360,1300,311,3.5,7.0,55.0,20.0,200,速冻
193,三全,汤圆花生,速冻糕点,270,1350,323,4.0,7.5,56.0,18.0,150,速冻
194,元朗,鸡仔饼,饼干/糕点,100,1900,454,8.5,18.0,64.0,20.0,700,广东传统
195,嘉华,鲜花饼,糕点,60,1700,406,5.0,15.0,65.0,28.0,200,云南特产玫瑰饼
196,云南小粒咖啡,咖啡饼干,饼干,100,1900,454,6.0,18.0,70.0,25.0,300,
197,可比克,原味薯片,薯片,60,2150,514,5.0,30.0,59.0,1.5,550,
198,可比克,番茄味薯片,薯片,60,2130,509,5.0,29.0,59.0,2.5,580,
199,可比克,烧烤味薯片,薯片,60,2150,514,5.0,30.0,59.0,2.5,600,
200,三只松鼠,薯片,薯片,108,2180,521,5.5,32.0,55.5,2.0,600,
201,薯片先生,原味薯片,薯片,40,2200,526,5.0,33.0,55.0,1.0,450,网红品牌
202,脆升升,薯条,薯片/膨化,30,2050,490,5.0,26.0,61.0,2.0,500,
203,哈哈球,鸡汁味,膨化食品,40,2100,502,4.5,27.0,63.0,3.0,680,
204,劲仔,大刀鱼,海鲜零食,22,1250,299,35.0,13.0,10.0,3.0,2100,小鱼干
205,想念,黑鱼片,海鲜零食,25,1300,311,50.0,8.0,5.0,2.0,1800,
206,甘源,蟹黄味蚕豆,豆类零食,100,1750,418,21.0,12.0,58.0,2.0,800,
207,甘源,青豌豆,豆类零食,100,1700,406,20.0,10.0,61.0,3.0,700,
208,甘源,混合豆果,豆类零食,25,1720,411,18.0,11.0,60.0,5.0,600,
209,甘源,花生豌豆,豆类零食,100,1850,442,20.0,18.0,55.0,4.0,650,
210,甘源,坚果豆果,豆类零食,100,2100,502,14.0,28.0,50.0,6.0,500,
211,洽洽,好巴食蚕豆,豆类零食,100,1750,418,22.0,12.0,57.0,2.0,750,
212,洽洽,蒜香豌豆,豆类零食,100,1700,406,20.0,10.0,62.0,3.0,720,
213,张飞,牛肉粒,肉干零食,20,1150,275,35.0,9.0,22.0,12.0,1300,
214,张飞,麻辣牛肉,肉干零食,30,1200,287,38.0,10.0,18.0,8.0,1500,
215,来伊份,猪肉脯,肉干零食,22,1500,358,33.0,14.0,26.0,18.0,1400,
216,来伊份,牛肉棒,肉干零食,25,1300,311,30.0,10.0,28.0,10.0,1600,
217,来伊份,酱鸭翅,卤味,100,830,198,14.5,12.0,10.0,6.0,950,
218,来伊份,芝麻牛轧糖,糖果,100,1800,430,8.0,15.0,68.0,55.0,120,
219,徐福记,芒果软糖,糖果,500,1450,347,2.5,2.5,79.0,68.0,40,
220,阿尔卑斯,牛奶棒棒糖,糖果,100,1700,406,1.5,2.5,87.0,78.0,70,
221,哈里宝,小熊软糖,糖果,100,1400,335,7.5,0,75.0,50.0,30,德国品牌
222,雅克,V9果汁软糖,糖果,80,1380,330,3.0,0,77.0,68.0,30,
223,晨光,益达无糖口香糖,糖果,28,800,191,0,0,68.0,0,5,含木糖醇
224,益达,清新薄荷口香糖,糖果,28,800,191,0,0,69.0,0,5,
225,绿箭,薄荷味口香糖,糖果,29,820,196,0,0,70.0,0,5,
226,旺旺,米饼,膨化食品,100,1900,454,5.0,16.0,74.0,3.0,550,
227,旺旺,大米方块酥,膨化食品,65,2000,478,5.0,22.0,68.0,4.0,500,
228,旺旺,粟一粟,膨化食品,32,1900,454,5.0,18.0,73.0,6.0,400,
229,卫龙,素肉卷,辣条,30,1750,418,11.0,17.0,57.0,8.0,1350,
230,卫龙,豆腐干麻辣,豆制品,30,820,196,12.0,10.0,16.0,3.0,1100,
231,脆脆鲨,威化饼干,饼干,20,2200,526,5.5,29.0,63.0,20.0,300,
232,雀巢,经典威化,威化饼干,45,2300,550,7.0,32.0,58.0,22.0,200,
233,丽芙,威化饼干,威化饼干,40,2250,538,6.0,30.0,61.0,22.0,250,
234,万宝路,威化饼干,威化饼干,100,2250,538,6.5,30.0,61.0,22.0,230,
235,维维,豆奶粉,固体饮料,350,1650,394,18.0,8.0,65.0,25.0,250,冲调型
236,固元膏,红枣核桃,糕点/保健,100,1800,430,5.0,15.0,72.0,50.0,50,中式滋补
237,老干妈,牛肉末豆豉,调味/零食,280,1300,311,11.0,22.0,14.0,3.0,1200,
238,老干妈,原味豆豉,调味/零食,280,1400,335,9.0,25.0,12.0,2.0,1400,
239,劲仔,辣子鱼,海鲜零食,20,1350,323,40.0,16.0,8.0,3.0,2200,
240,海欣,芥末味小鱼干,海鲜零食,50,1300,311,38.0,14.0,12.0,4.0,2000,
241,小田园,烤鱼片,海鲜零食,30,1400,335,55.0,8.5,10.0,2.0,1800,高蛋白
242,海天游,鱿鱼丝,海鲜零食,30,1200,287,46.0,6.0,14.0,5.0,1600,
243,海天游,鱼豆腐,海鲜零食,100,810,194,10.0,8.0,18.0,5.0,1150,
244,美加净,皮皮虾条,膨化食品,30,2050,490,5.0,26.0,62.0,2.0,650,
245,克丽安,鱿鱼味面饼,膨化食品,25,2100,502,5.0,28.0,62.0,2.0,600,
246,百事,奇多奶酪球,膨化食品,80,2100,502,5.5,28.0,60.0,3.0,650,芝士味
247,百事,奇多粟米棒,膨化食品,56,2050,490,5.0,26.0,63.0,4.0,600,
248,阿华田,固体饮料,固体饮料,400,1650,394,8.0,8.5,70.0,55.0,250,可可麦芽
249,好喝,热巧克力粉,固体饮料,160,1700,406,7.0,10.0,68.0,50.0,200,
250,立顿,柠檬味茶包,茶类,每包2g,0,0,0,0,0,0,0,冲泡型
251,天喔,果茶,果汁饮料/零食,250,580,139,1.0,1.0,31.0,28.0,50,固体果茶
252,来伊份,蔓越莓干,蜜饯,100,1400,335,1.0,1.0,81.0,72.0,30,
253,来伊份,葡萄干,蜜饯,100,1380,330,2.5,0.5,79.0,72.0,20,
254,来伊份,芒果干,蜜饯,100,1400,335,1.5,1.0,79.0,70.0,40,
255,来伊份,蓝莓干,蜜饯,100,1380,330,1.5,1.0,80.0,72.0,15,
256,百草味,奶枣,蜜饯,100,1700,406,4.0,8.0,78.0,70.0,80,枣+奶油
257,百草味,杏脯,蜜饯,100,1400,335,1.5,0.5,81.0,72.0,50,
258,百草味,话梅,蜜饯,100,1100,263,2.5,0.5,62.0,40.0,3500,高钠
259,三只松鼠,话梅,蜜饯,100,1100,263,2.0,0.5,63.0,40.0,3200,
260,黄飞红,麻辣花生,坚果,100,2280,545,24.5,44.0,23.0,4.0,600,
261,黄飞红,椒辣花生,坚果,100,2300,550,24.0,45.0,22.0,3.0,620,
262,甘源,锅巴原味,锅巴,100,1900,454,6.0,18.0,70.0,3.0,700,
263,甘源,锅巴辣味,锅巴,100,1900,454,6.0,18.0,70.0,3.0,750,
264,好丽友,锅巴,锅巴,84,1920,459,6.0,18.5,70.0,3.0,680,
265,旺旺,锅巴,锅巴,84,1900,454,5.5,18.0,71.0,3.0,650,
266,上好佳,鳕鱼锅巴,锅巴,40,1950,466,8.0,19.0,68.0,3.0,700,
267,益力多,乳酸菌饮料,乳饮料,100,270,65,1.5,0,14.5,14.0,50,益生菌
268,光明,味动力乳酸菌,乳饮料,100,260,62,1.0,0,14.0,13.5,55,
269,蒙牛,冰淇淋脆筒,冷饮,80,1100,263,3.0,12.0,36.0,25.0,120,
270,伊利,巧乐兹,冷饮,70,900,215,2.5,10.0,30.0,22.0,80,巧克力冰淇淋
271,伊利,苦咖啡,冷饮,73,700,167,2.5,6.0,26.0,20.0,100,咖啡冰淇淋
272,可爱多,草莓味冰淇淋,冷饮,60,700,167,2.0,6.0,27.0,20.0,80,
273,雀巢,脆脆鲨巧克力冰淇淋,冷饮,46,900,215,3.0,11.0,29.0,22.0,100,
274,宏宝莱,冰淇淋雪糕,冷饮,100,800,191,2.5,9.0,27.0,22.0,100,
275,中街1946,酸奶雪糕,冷饮,80,750,179,3.0,8.0,24.0,20.0,120,网红雪糕
276,茅台冰淇淋,酱香冰淇淋,冷饮,78,800,191,2.5,9.0,27.0,20.0,90,茅台联名
277,钟薛高,海盐椰椰,冷饮,78,850,203,2.8,10.0,28.0,22.0,180,雪糕
278,旺旺,棒棒冰,冷饮,60,250,60,0,0,14.0,13.0,20,糖水冰棍
279,冰淇淋,绿色心情,冷饮,73,400,96,1.0,2.5,18.0,15.0,80,绿豆沙
280,马大姐,花生糖,糖果,100,1900,454,10.0,20.0,65.0,50.0,100,
281,马大姐,芝麻糖,糖果,100,1950,466,11.0,22.0,61.0,45.0,80,
282,马大姐,花生酥,糖果,100,1850,442,9.0,18.0,66.0,50.0,90,
283,巧克力派,好丽友,蛋糕糕点,35,1900,454,4.0,22.0,60.0,27.0,280,
284,北京稻香村,豆沙酥,糕点,80,1650,394,5.0,15.0,62.0,28.0,150,
285,安德鲁,蛋挞,糕点,75,1300,311,5.5,13.0,40.0,15.0,250,葡式蛋挞
286,太阳谷,麦片棒,谷物零食,35,1700,406,6.0,10.0,72.0,30.0,150,
287,桂格,高纤燕麦片,谷物零食,40,1550,370,12.0,8.0,67.0,2.0,20,低糖高纤
288,桂格,香甜麦片,谷物零食,40,1620,387,9.0,6.5,72.0,20.0,100,
289,卡乐比,富果乐麦片,谷物零食,40,1600,382,6.5,6.0,74.0,22.0,200,
290,亨氏,婴儿米粉,婴儿辅食,225,1560,373,12.0,3.5,73.0,8.0,80,婴儿食品
