编号,品牌,商品名,类别,规格(g),能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
29,嗨吃家,肥汁米线,米线/米粉,270,730,174,3.8,6.0,30.0,2.0,950,云南风味
30,柴火大院,云南过桥米线,米线/米粉,280,700,167,4.0,5.5,29.0,2.0,900,
31,有你一面,云南米线,米线/米粉,260,710,170,3.8,5.8,29.5,2.0,920,
32,自嗨锅,四川麻辣米线,米线/米粉,350,680,163,4.5,6.0,27.0,2.0,1050,自热型
33,自嗨锅,香菇炖鸡米线,米线/米粉,380,620,148,5.0,4.5,25.0,1.5,900,自热型
34,桃李,煮不烂粉丝,粉丝,300,1260,301,0.5,0.5,74.0,0,120,干绿豆粉丝
35,范小厨,南昌拌粉,南昌拌粉,260,860,205,6.5,4.5,37.0,2.5,1300,
36,花都,南昌炒粉,南昌拌粉,250,870,208,6.5,4.8,37.0,2.5,1350,
37,拉面说,日式豚骨拉面,日式速食拉面,330,850,203,8.5,6.0,33.0,2.0,1200,非方便面 冷藏型
38,拉面说,日式味噌拉面,日式速食拉面,330,830,198,8.5,5.5,33.0,2.0,1300,冷藏型
39,拉面说,日式酱油拉面,日式速食拉面,330,820,196,8.0,5.5,33.0,2.0,1150,冷藏型
40,拉面说,重庆小面,重庆小面,280,870,208,7.5,5.0,36.5,2.5,1400,
41,袁记云饺,菜肉大馄饨,云吞/馄饨,500,620,148,7.5,6.5,18.0,1.0,650,速冻 每100g
42,袁记云饺,红油抄手,云吞/馄饨,500,630,151,7.8,7.0,18.0,1.0,680,
43,湾仔码头,大馄饨猪肉芹菜,云吞/馄饨,390,650,155,8.0,7.0,18.5,0.8,700,速冻
44,湾仔码头,小馄饨,云吞/馄饨,300,640,153,7.5,6.8,18.5,0.8,680,速冻
45,鲜京采,鲜肉大馄饨,云吞/馄饨,400,620,148,7.5,6.5,18.0,0.8,650,速冻
46,广州酒家,猪肉虾仁馄饨,云吞/馄饨,330,660,158,8.5,7.5,17.5,0.8,720,速冻
47,三全,猪肉白菜馄饨,云吞/馄饨,500,630,151,7.5,6.8,18.5,0.8,670,速冻
48,湾仔码头,鸡肉馄饨,云吞/馄饨,300,600,143,7.5,5.5,18.5,0.8,620,速冻
49,三全,猪肉大葱水饺,水饺,480,870,208,8.0,9.5,26.0,1.5,700,速冻
50,三全,玉米猪肉水饺,水饺,480,860,205,8.0,9.0,26.5,2.0,680,速冻
51,三全,韭菜猪肉水饺,水饺,480,875,209,8.0,9.5,26.0,1.5,720,速冻
52,湾仔码头,猪肉白菜水饺,水饺,400,880,210,8.5,10.0,25.5,1.5,730,速冻
53,湾仔码头,韭菜虾仁水饺,水饺,400,850,203,8.5,8.5,26.0,1.5,700,速冻
54,湾仔码头,牛肉大葱水饺,水饺,400,900,215,9.5,10.0,25.5,1.5,750,速冻
55,思念,猪肉白菜水饺,水饺,500,860,205,8.0,9.5,26.0,1.5,700,速冻
56,思念,香菇猪肉水饺,水饺,500,870,208,8.5,9.5,25.5,1.5,720,速冻
57,龙凤,猪肉香菜水饺,水饺,400,880,210,8.5,10.0,25.5,1.5,730,速冻
58,湾仔码头,三鲜水饺(虾肉韭黄),水饺,400,860,205,9.0,9.0,25.5,1.5,710,速冻
59,鲜京采,手工水饺猪肉芹菜,水饺,400,850,203,8.5,9.0,26.0,1.5,700,速冻
60,猫老大,黑猪肉水饺,水饺,400,910,217,9.5,10.5,25.5,1.5,730,速冻 黑猪肉
61,三全,芝麻汤圆(黑芝麻馅),汤圆,400,1580,378,4.0,14.5,58.0,28.0,80,速冻
62,三全,花生汤圆,汤圆,400,1620,387,5.0,15.0,60.0,28.0,75,速冻
63,湾仔码头,黑芝麻汤圆,汤圆,500,1590,380,4.0,15.0,58.5,28.5,80,速冻
64,湾仔码头,芒果汤圆,汤圆,500,1480,354,3.0,10.0,60.0,30.0,55,速冻 水果馅
65,思念,草莓汤圆,汤圆,400,1450,346,2.5,9.5,60.0,30.0,50,速冻
66,思念,无糖汤圆(代糖),汤圆,400,1380,330,3.5,10.0,58.0,0,50,速冻 赤藓糖醇
67,五芳斋,芝麻汤圆,汤圆,400,1570,375,4.0,14.0,59.0,28.0,75,速冻
68,五芳斋,巧克力汤圆,汤圆,400,1600,382,4.5,15.0,60.0,30.0,65,速冻
69,稻香村,杂粮汤圆,汤圆,400,1420,339,4.0,9.5,60.0,18.0,55,速冻 低油版
70,秋风,豆沙汤圆,汤圆,400,1480,354,3.5,10.0,62.0,25.0,60,速冻
71,陈克明,鸡蛋挂面,挂面,500,1450,346,10.5,1.5,73.0,1.5,520,干面 per 100g
72,陈克明,荞麦挂面,荞麦面,500,1420,339,10.0,1.5,72.0,1.0,400,干面 含25%荞麦粉
73,陈克明,菠菜面,挂面,500,1430,342,10.0,1.5,72.5,1.5,480,干面 天然菠菜汁
74,陈克明,全麦挂面,全麦面,500,1380,330,10.5,1.8,68.0,1.5,380,干面 含全麦粉
75,益海嘉里,金龙鱼面条,挂面,1000,1460,349,10.0,1.5,73.5,1.5,500,干面
76,益海嘉里,香辣面条,挂面,500,1470,351,10.0,2.0,73.0,2.0,750,干面 含调味
77,古龙,蔬菜挂面,挂面,500,1440,344,9.5,1.5,73.0,1.5,450,干面
78,南德,石磨荞麦面,荞麦面,500,1400,334,11.0,2.0,70.0,1.0,350,干面 纯荞麦
79,西贝,燕麦面,燕麦面,500,1430,342,11.0,2.0,70.5,1.5,320,干面 高膳食纤维
80,骏马牌,银丝面(细面),挂面,500,1450,346,9.5,1.5,73.5,1.5,510,干面
81,陈克明,宽面条,挂面,500,1455,348,10.0,1.5,73.5,1.5,520,干面
82,今麦郎,彩面(蔬菜味),挂面,500,1445,345,10.0,1.5,73.0,1.5,480,干面 添加蔬菜粉
83,朋厨,意大利面(进口),意大利面,500,1490,356,12.5,1.5,73.0,2.5,10,干面 进口硬粒小麦
84,百味来(Barilla),天使发丝意面,意大利面,500,1460,349,12.0,1.5,72.5,2.5,8,干面
85,阿宽,自热小火锅(麻辣),自热食品,455,630,151,6.0,7.0,19.0,3.0,1100,整包per 100g 含米饭
86,自嗨锅,麻辣香锅,自热食品,380,680,163,6.5,7.5,22.0,3.5,1150,整包per 100g
87,自嗨锅,冒菜牛肉,自热食品,400,620,148,7.0,6.5,20.0,3.0,1000,整包per 100g
88,莫小仙,自热火锅,自热食品,420,650,155,6.0,7.0,21.0,3.5,1100,整包per 100g
89,莫小仙,自热小火锅海鲜,自热食品,400,600,143,7.5,5.5,20.0,3.0,1000,整包per 100g
90,海底捞,自热小火锅,自热食品,350,720,172,5.5,8.0,23.5,4.0,1200,整包per 100g
91,阿宽,自热米饭黄焖鸡,自热食品,355,680,163,7.0,5.5,25.0,3.0,850,整包per 100g
92,自嗨锅,红烧牛肉自热饭,自热食品,350,700,167,8.0,6.0,25.0,3.0,900,整包per 100g
93,好欢螺,螺蛳粉自热版,螺蛳粉,350,780,186,3.8,6.5,28.0,0.7,620,自热型
94,阿宽,泡菜炒饭自热,自热食品,300,750,179,6.5,5.5,28.0,2.5,900,整包per 100g
95,大龙燚,自热火锅,自热食品,400,700,167,6.0,8.0,22.0,3.5,1150,整包per 100g
96,五谷道场,杂粮自热饭,自热食品,350,680,163,6.5,4.0,27.5,2.5,750,整包per 100g
97,银鹭,花生牛奶粥,即食粥,360,230,55,2.5,2.0,10.0,5.0,200,罐装即食
98,银鹭,红豆燕麦粥,即食粥,360,210,50,2.5,0.5,10.5,4.5,180,罐装即食
99,南方黑芝麻,黑芝麻糊,速溶糊,420g粉冲400ml,1680,401,8.5,10.5,72.0,30.0,120,粉状per 100g 冲泡型
100,南方黑芝麻,核桃花生糊,速溶糊,400g粉,1650,394,9.0,11.0,70.0,28.0,130,粉状per 100g
101,冠生园,西米露(罐装),甜品,360,230,55,0.3,0,13.5,12.5,20,即食罐装
102,汪汪水果藕粉(百合莲子),藕粉,500g粉,1400,334,3.5,0.5,80.5,25.0,25,粉状per 100g 冲泡型
103,西湖牌,纯藕粉,藕粉,250g粉,1440,344,0.5,0.3,85.0,0,15,粉状per 100g 无添加
104,合味道(cup noodle小碗装),杯装粉丝,粉丝汤,75,1450,346,3.5,4.5,73.0,2.0,1050,含调料包 整碗per 100g
105,白家,陈醋粉丝,粉丝,200,830,198,3.0,4.0,40.0,1.5,1200,粉丝+调料包
106,通心粉(通用),通心粉,意大利面,500,1460,349,12.0,1.5,73.0,2.5,8,干面 意大利面一种
107,宽粉(红薯),红薯宽粉,粉条,200,1350,323,0.5,0.5,80.0,0,35,干红薯粉 per 100g
108,细粉条(通用),绿豆粉条,粉条,200,1410,337,0.5,0.5,83.5,0,35,干绿豆粉
109,阿宽,番茄牛腩面皮,面皮,130,1480,354,9.0,5.5,70.5,3.0,1500,
110,宽窄,藤椒鸡汤面皮,面皮,130,1475,352,9.0,5.5,71.0,3.0,1480,
111,三全,糯米鸡(荷叶饭),速冻糯米制品,200,780,186,7.0,7.5,25.5,1.0,550,速冻
112,五芳斋,白粽(纯糯米),粽子,200,630,151,3.5,0.5,33.0,0,85,速冻
113,五芳斋,鲜肉粽,粽子,200,750,179,6.5,5.5,27.0,0.5,480,速冻
114,五芳斋,豆沙粽,粽子,200,700,167,4.5,2.5,32.0,10.0,90,速冻
115,稻香村,豆沙粽,粽子,200,690,165,4.5,2.5,31.5,10.0,85,速冻
116,思念,八宝粽,粽子,200,720,172,5.0,3.0,33.0,5.0,200,速冻 含各种杂粮
117,三全,早餐粥(大米粥),速食粥,50g粉,350,84,2.0,0.5,18.5,0,120,冲泡型 per 100g粉
118,桂格,燕麦片(即食冲泡),燕麦/麦片,500,1510,361,10.0,6.5,70.0,0,180,即食燕麦 per 100g干
119,三全,芝麻馅汤圆小圆子,汤圆,400,1500,358,3.5,11.0,59.5,25.0,70,速冻小汤圆
120,袁记云饺,小混沌(鲜肉),云吞/馄饨,500,640,153,7.8,7.0,17.5,0.8,680,速冻
121,三全,速冻馄饨(鲜肉虾仁),云吞/馄饨,500,650,155,8.0,7.2,18.0,0.8,700,速冻
122,鲜京采,荠菜猪肉水饺,水饺,400,860,205,8.0,9.5,25.5,1.5,700,速冻
123,三全,素馅水饺(韭菜鸡蛋),水饺,480,820,196,7.5,8.5,26.5,1.5,650,速冻
124,龙凤,三鲜水饺,水饺,400,870,208,8.5,9.5,25.5,1.5,720,速冻
125,湾仔码头,黄金虾饺,水饺,400,880,210,9.5,9.5,25.0,1.5,750,速冻 含虾肉
126,自嗨锅,重庆小面(单人装),重庆小面,235,890,213,7.5,5.5,37.5,2.5,1450,含调料包整包per 100g
127,今麦郎,拉面小食堂日式豚骨,非油炸速食面,110,1500,358,10.0,8.5,67.5,2.0,1250,非油炸 per 100g
128,拉面说,挂耳猫耳朵,非油炸速食面,240,840,201,7.5,5.0,34.5,2.0,1100,冷藏面条类
129,阿宽,双刀肥肠粉,肥肠粉,220,700,167,3.5,5.5,28.5,1.5,1250,含红薯粉
130,陕西,岐山臊子面,臊子面,250,870,208,8.0,5.0,35.5,2.0,1300,含猪肉臊子
131,寿桃,竹升捞面,广式面食,400,880,210,8.0,3.5,41.0,2.0,680,
132,功德林,素鸡水饺(素馅),素食水饺,400,820,196,7.5,8.0,27.0,2.0,580,素食
133,正大,泰式打抛猪速食,速食料理,350,650,155,9.0,6.0,19.5,3.5,950,含泰式调料
134,阿宽,重庆酸辣粉(超辣),酸辣粉,220,695,166,3.5,5.8,28.5,1.5,1300,
135,桂林米粉(袋装),桂林米粉,米粉,250,700,167,3.5,4.0,33.0,1.5,950,含卤汁包
136,云南米线(袋装通用),过桥米线,米线/米粉,260,680,163,3.5,4.0,32.5,1.5,900,
137,白象,热干拌面,热干面,170,1420,339,9.5,3.5,70.0,2.0,980,
138,今麦郎,老范家热干面,热干面,185,1430,342,9.5,3.8,70.0,2.5,1000,
139,今麦郎,拉面小食堂重庆小面,重庆小面,120,1480,354,10.0,5.0,72.0,2.5,1300,干面为主
140,想念,玉米面条,杂粮面,500,1400,334,9.0,1.5,71.5,2.0,350,干面 含玉米粉
141,黑五类,杂粮挂面,杂粮面,500,1420,339,9.5,1.5,71.5,1.5,380,干面 含黑五类谷物
142,阿宽,担担面,担担面,105,1600,382,10.5,12.0,63.5,3.5,1350,非油炸干面+调料
143,六婆,担担面,担担面,105,1580,378,10.5,11.5,63.5,3.5,1300,
144,拉面说,麻辣牛肉拉面,日式速食拉面,380,830,198,9.0,5.5,33.0,2.0,1350,冷藏型
145,一碗料理,佛跳墙面,特色面食,380,720,172,8.5,6.5,25.5,2.0,1000,含多种食材
146,六翠,豆腐花汤圆,汤圆,400,1450,346,5.0,10.0,60.0,24.0,55,速冻 含豆腐花成分
147,三全,糯米烧卖,速冻糯米制品,300,800,191,7.0,7.5,28.5,2.0,650,速冻
148,广州酒家,虾饺皇,速冻点心,200,750,179,10.0,7.0,23.5,1.0,500,速冻港式点心
149,广州酒家,叉烧包,速冻点心,260,900,215,8.5,8.5,30.5,8.0,580,速冻港式点心
150,稻香村,艾窝窝,速冻糯米制品,250,900,215,4.0,5.5,41.0,18.0,75,速冻北京点心
151,思念,八宝饭,速冻糯米制品,400,800,191,4.5,4.5,38.0,15.0,100,速冻含蜜饯
152,湾仔码头,麻辣小笼包,速冻点心,450,780,186,8.0,8.0,25.0,2.0,700,速冻
153,三全,灌汤小笼包,速冻点心,450,800,191,8.5,8.5,25.0,2.5,720,速冻
154,达人鲜,蟹粉小笼包,速冻点心,400,820,196,8.5,8.5,25.5,2.0,700,速冻
155,五芳斋,玫瑰豆沙酥点,速冻糯米制品,200,1500,358,5.0,15.5,50.0,20.0,120,速冻
156,阿宽,川味抄手(红油),红油抄手,200,680,163,7.5,7.5,20.5,1.5,1000,速冻 配红油调料
157,思念,冰冻红糖糍粑,速冻糯米制品,300,1350,323,3.0,5.0,68.0,25.0,80,速冻
158,广记,河粉(袋装湿面),广式河粉,300,420,100,2.5,0.5,22.0,0.5,320,湿面per 100g
159,柳州人家,干河粉,干粉,200,1390,332,3.0,0.5,81.0,0.5,80,干粉per 100g
160,自嗨锅,韩式部队锅,自热食品,475,580,139,6.5,5.5,19.5,3.0,1050,整包per 100g 含泡菜
161,自嗨锅,酱骨大米饭,自热食品,330,730,174,8.0,6.0,25.5,3.0,880,整包per 100g
162,三全,猪肉西葫芦水饺,水饺,480,860,205,8.0,9.5,26.0,1.5,710,速冻
163,麻辣拌(通用料包),麻辣拌底料,复合速食,约75g料包,560,134,2.5,3.5,23.0,5.0,2500,per 100g含油料包
164,米其林,螺蛳粉精品版,螺蛳粉,350,790,189,4.0,6.8,28.0,0.7,600,
165,好欢螺,宽粉螺蛳粉,螺蛳粉,320,800,191,3.8,6.8,28.0,0.7,610,宽米粉版
166,嗨吃家,土豆粉,土豆粉,200,730,174,2.0,4.0,34.5,1.5,1100,含土豆粉
167,一只鸡(品牌),辣子鸡煲自热,自热食品,340,820,196,10.0,8.0,22.5,3.0,1200,整包per 100g
168,阿宽,海鲜捞饭自热,自热食品,350,660,158,6.5,5.0,24.5,2.5,900,整包per 100g
169,今麦郎,拉面小食堂陕西油泼面,面皮/陕西面,120,1490,356,10.0,5.5,71.5,2.5,1100,干面含调料包
170,老城南京,鸭血粉丝汤(袋装),鸭血粉丝汤,360,280,67,3.5,3.0,9.0,1.0,750,速食汤品 per 100g
171,浔味轩,螺蛳粉(长沙版),螺蛳粉,300,780,186,3.8,6.5,28.0,0.7,620,
172,宽窄,泡椒酸辣粉,酸辣粉,200,695,166,3.5,5.5,28.5,1.5,1200,
173,桥头,重庆火锅粉,重庆火锅粉,225,710,170,3.5,5.8,29.0,1.5,1280,
174,陈克明,荞麦冷面,荞麦面,500,1420,339,10.5,1.5,71.5,1.0,400,干面 冷面款
175,三全,白玉水晶汤圆,汤圆,400,1400,334,2.5,7.5,61.0,24.0,45,速冻 水晶皮
176,湾仔码头,鸡肉玉米水饺,水饺,400,840,201,8.0,9.0,25.5,2.0,680,速冻
177,五谷道场,黑米汤圆,汤圆,400,1470,351,4.0,10.0,63.0,25.0,65,速冻 含黑米
178,拉面说,芝士猫耳朵,非油炸速食面,230,860,205,8.0,5.5,36.0,2.5,1050,冷藏
179,光友,银耳桂圆汤圆,汤圆,400,1490,356,3.5,10.5,61.0,26.0,60,速冻
180,三全,糯米血糯汤圆,汤圆,400,1480,354,4.5,10.5,60.0,25.0,70,速冻 含血糯米
