编号,品牌,商品名,类别,规格,能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
37,太太乐,蚝油,蚝油,500g,290,69,3.5,0.5,13.0,7.5,3400,每100g
38,家乐,蚝油,蚝油,500g,285,68,3.0,0.5,12.8,7.5,3350,每100g
39,恒顺,镇江香醋,香醋,420ml,72,17,0.5,0,3.5,0.5,620,每100ml 镇江特产 醋酸≥4.5g/100ml
40,恒顺,陈醋,陈醋,500ml,68,16,0.5,0,3.2,0.5,580,每100ml
41,东湖,山西老陈醋,陈醋,500ml,75,18,0.8,0,3.5,0.5,660,每100ml 山西特产
42,水塔,山西陈醋,陈醋,500ml,72,17,0.8,0,3.5,0.5,640,每100ml
43,千禾,纯粮食醋,陈醋,500ml,65,16,0.5,0,3.0,0.5,600,每100ml 纯粮酿造
44,海天,陈醋,陈醋,500ml,68,16,0.5,0,3.2,0.5,560,每100ml
45,恒顺,苹果醋,果醋,500ml,105,25,0.3,0,5.5,5.0,160,每100ml 含苹果汁
46,海天,白醋,白醋,500ml,20,5,0.1,0,1.0,0,35,每100ml 酿造白醋
47,恒顺,香醋(淡盐),香醋,500ml,72,17,0.5,0,3.5,0.5,1200,每100ml 调味型
48,四川保宁,醋,香醋,500ml,70,17,0.5,0,3.4,0.5,590,每100ml 四川名醋
49,中盐,加碘食盐,食盐,400g,0,0,0,0,0,0,39300,每100g 碘含量≥18μg/g
50,中盐,低钠盐,低钠盐,400g,0,0,0,0,0,0,26500,每100g 含30%氯化钾
51,海盐,地中海天然海盐,海盐,400g,0,0,0,0,0,0,38000,每100g 含微量矿物质
52,竹盐,紫竹盐,竹盐,200g,0,0,0,0,0,0,37500,每100g 韩国传统工艺
53,雪花,调味盐,食盐,400g,0,0,0,0,0,0,38500,每100g
54,太太乐,鸡精,鸡精,500g,730,175,10.5,5.5,19.0,5.0,14800,每100g 含MSG和盐
55,太太乐,鸡粉,鸡粉,400g,700,167,12.0,5.0,18.0,4.5,14200,每100g
56,家乐,鸡精,鸡精,250g,720,172,10.0,5.0,19.5,5.5,15000,每100g
57,味事达,鸡精,鸡精,250g,710,170,10.5,5.5,18.5,5.0,14500,每100g
58,海天,鸡精,鸡精,250g,720,172,10.0,5.5,19.0,5.0,14800,每100g
59,味精(谷氨酸钠),莲花味精,味精,250g,1050,250,8.0,0,0,0,12300,每100g 谷氨酸钠≥99%
60,太太乐,鲜鸡汁,液态鲜味料,200ml,120,29,3.0,0.5,3.5,1.0,7500,每100ml 浓缩鸡汁
61,家乐,浓汤宝(猪骨),浓汤底料,216g,1130,270,6.0,18.0,22.5,5.0,5500,每100g 固体浓汤料
62,太太乐,蘑菇精,鲜味料,200g,600,143,8.0,2.0,22.0,5.0,12500,每100g 蔬菜系鲜味料
63,郫县豆瓣,川菜豆瓣酱,豆瓣酱,500g,420,100,7.0,5.0,12.0,3.0,6500,每100g 郫县特产
64,海天,黄豆酱,黄豆酱,500g,540,129,8.0,4.5,18.0,5.0,6000,每100g
65,厨邦,甜面酱,甜面酱,500g,700,167,5.0,1.5,32.0,28.0,2400,每100g 含糖量高
66,海天,甜面酱,甜面酱,500g,690,165,5.0,1.5,31.5,27.5,2300,每100g
67,天津,豆腐乳(红腐乳),腐乳,340g,545,130,10.0,7.5,9.0,1.5,5000,每100g
68,王致和,红腐乳,腐乳,250g,530,127,10.5,7.0,8.5,1.5,5200,每100g
69,广合,白腐乳,腐乳,340g,510,122,9.5,7.5,8.0,1.5,4800,每100g
70,绍兴,醉方腐乳,腐乳,300g,520,124,10.0,7.0,8.5,1.5,5100,每100g
71,老干妈,豆豉辣椒油,辣酱,280g,1355,324,7.0,26.0,16.0,3.0,1450,每100g
72,老干妈,肉丝辣椒酱,辣酱,280g,1280,306,9.5,23.0,16.5,3.5,1520,每100g
73,老干妈,风味豆豉,辣酱,280g,1310,313,8.0,24.5,16.0,3.0,1480,每100g
74,老干妈,红油豆豉,辣酱,280g,1340,320,7.5,26.0,15.5,3.0,1430,每100g
75,饭爷,辣椒酱,辣酱,195g,820,196,5.5,14.0,14.0,4.0,1850,每100g
76,虎邦,剁椒酱,辣酱,150g,230,55,2.5,2.5,7.0,3.5,3200,每100g 低油版
77,海天,XO酱,复合酱料,220g,1300,311,10.0,25.0,14.0,3.5,2800,每100g 含干贝虾米
78,李锦记,海鲜酱,海鲜酱,240g,700,167,5.0,2.0,34.0,28.0,3200,每100g 含鱼露
79,李锦记,沙茶酱,沙茶酱,226g,1600,382,9.0,28.0,24.0,8.0,1800,每100g 含花生
80,海天,芝麻酱,芝麻酱,250g,2428,581,18.0,52.0,22.0,0,115,每100g
81,嘉禾一品,芝麻酱(纯),芝麻酱,500g,2450,586,18.5,53.0,22.0,0,110,每100g
82,中华,花生酱,花生酱,250g,2540,607,24.0,50.0,20.0,8.0,400,每100g
83,百维滋,花生酱(无糖),花生酱,500g,2510,600,26.0,51.0,17.0,2.0,350,每100g
84,海天,黑豆豉,豆豉,500g,850,203,17.0,5.5,24.0,2.0,7500,每100g 干豆豉
85,阳江,阳江豆豉,豆豉,500g,820,196,16.0,5.0,24.0,2.0,7200,每100g
86,李锦记,柱侯酱,复合酱料,240g,620,148,5.5,3.5,26.5,18.0,3500,每100g
87,王守义,十三香,调味粉,45g,1400,335,12.0,5.0,58.0,0,780,每100g 13种香料复合
88,五香粉(通用),五香粉,调味粉,50g,1220,291,12.0,7.0,48.0,0,65,每100g
89,辣椒粉(通用),辣椒粉,调味粉,100g,1380,330,12.0,16.0,49.0,7.0,125,每100g
90,花椒粉(通用),花椒粉,调味粉,50g,1230,294,7.0,8.0,55.0,0,65,每100g
91,孜然粉(通用),孜然粉,调味粉,50g,1570,375,18.0,22.0,44.0,2.0,168,每100g
92,黑胡椒粉(通用),黑胡椒粉,调味粉,50g,1260,301,11.0,3.0,61.0,0,20,每100g
93,白胡椒粉(通用),白胡椒粉,调味粉,50g,1340,320,11.5,4.0,63.0,0,15,每100g
94,姜粉(通用),姜粉,调味粉,50g,1440,344,9.0,6.0,72.0,0,30,每100g
95,大喜大,咖喱粉,调味粉,100g,1500,358,13.0,15.0,50.0,0,1543,每100g
96,咖喱粉(通用),咖喱粉,调味粉,100g,1510,361,13.5,15.5,50.0,0,1480,每100g
97,蒜粉(通用),蒜粉,调味粉,50g,1390,332,16.0,0.5,73.0,2.5,180,每100g
98,姜黄粉(通用),姜黄粉,调味粉,50g,1480,354,8.0,10.0,65.0,3.0,38,每100g
99,八角粉(通用),八角/大茴香粉,调味粉,50g,1390,332,15.0,15.5,50.0,0,55,每100g
100,肉桂粉(通用),肉桂粉,调味粉,50g,1050,251,4.0,3.5,55.0,2.0,10,每100g
101,李锦记,番茄酱,番茄酱,340g,350,84,1.5,0.2,19.0,14.0,980,每100g
102,亨氏,番茄酱,番茄酱,320g,380,91,1.8,0.3,20.5,15.5,1100,每100g
103,芝麻油(通用),纯芝麻油,芝麻油,250ml,3703,885,0,100,0,0,0,每100g/ml 纯脂肪
104,海天,辣椒油,辣椒油,200ml,3500,837,0.5,92.0,5.0,0.5,200,每100ml
105,花椒油(通用),花椒油,调味油,100ml,3600,860,0,96.0,2.0,0,150,每100ml
106,葱油(通用),葱油,调味油,100ml,3650,872,0,98.0,1.0,0,120,每100ml
107,蒜蓉酱(通用),蒜蓉辣椒酱,辣酱,100g,250,60,2.5,2.0,9.0,3.0,2800,每100g
108,海底捞,火锅底料(麻辣),火锅底料,200g,2180,521,5.0,48.0,18.0,3.0,1850,每100g 油脂含量极高
109,海底捞,火锅底料(番茄),火锅底料,200g,650,155,2.0,8.0,18.5,12.0,1200,每100g
110,小龙坎,火锅底料(麻辣),火锅底料,150g,2200,526,5.5,49.0,18.0,3.0,1900,每100g
111,大龙燚,火锅底料,火锅底料,200g,2150,514,5.0,47.5,18.0,3.0,1820,每100g
112,海底捞,红烧肉酱包,复合调味料,130g,800,191,5.0,8.0,25.0,12.0,2800,每100g
113,百草味,腊肉酱料包,复合调味料,80g,700,167,4.5,5.0,26.0,10.0,3200,每100g
114,美鑫,水煮鱼调料,复合调味料,200g,680,163,5.0,7.5,20.0,3.0,4500,每100g
115,鲜味宝,蒸鱼豉油(浓缩),鲜味料,500ml,110,26,1.5,0,4.8,3.8,2800,每100ml
116,厨邦,葱姜料酒,料酒,500ml,200,48,0.5,0,8.5,3.5,850,每100ml 含酒精12%
117,绍兴,绍兴料酒,料酒,500ml,215,51,0.5,0,9.0,4.0,900,每100ml 含酒精12.5%
118,生粉/淀粉(通用),太白粉,淀粉,400g,1440,344,0.2,0.1,85.0,0,10,每100g
119,玉米淀粉(通用),玉米生粉,淀粉,400g,1435,343,0.2,0.1,84.5,0,12,每100g
120,老干妈,辣三丁,辣酱,280g,1200,287,8.5,21.0,16.0,3.0,1380,每100g 含花生/牛肉/豆豉
