编号,品牌,商品名,类别,规格(ml),酒精度(%),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
54,江小白,小支江小白,清香白酒,100,40.0,930,222,0,0,0.5,0,0,40度小瓶
55,郎酒,郎酒酱香,酱香白酒,500,53.0,1238,296,0,0,0.5,0,0,53度
56,宝丰,宝丰清香,清香白酒,500,54.0,1261,301,0,0,0.4,0,0,54度 豫产清香
57,舍得,吞之乎浓香,浓香白酒,500,52.0,1214,290,0,0,0.5,0,0,52度
58,口子窖,口子窖兼香,兼香白酒,500,46.0,1070,256,0,0,0.5,0,0,46度
59,习酒,习酒·君品,酱香白酒,500,53.0,1238,296,0,0,0.5,0,0,53度 茅台镇
60,枝江,枝江大曲,浓香白酒,500,52.0,1214,290,0,0,0.5,0,0,52度 湖北产
61,绍兴,绍兴加饭黄酒,黄酒,500,18.0,440,105,1.6,0,5.0,3.0,30,浙江黄酒代表
62,绍兴,绍兴花雕酒,黄酒,500,16.0,395,94,1.5,0,4.5,2.8,28,
63,古越龙山,古越龙山陈年,黄酒,500,14.0,350,84,1.8,0,4.0,2.5,25,陈酿型
64,会稽山,五年陈黄酒,黄酒,500,16.0,390,93,1.6,0,4.5,2.8,28,
65,绍兴,女儿红黄酒,黄酒,500,15.0,368,88,1.5,0,4.2,2.6,26,
66,RIO,微醺鸡尾酒(百香果),调制酒/预调酒,275,3.8,240,57,0,0,12.0,11.5,15,含糖量高
67,RIO,微醺鸡尾酒(荔枝),调制酒/预调酒,275,3.8,238,57,0,0,11.8,11.3,15,
68,RIO,微醺鸡尾酒(西柚),调制酒/预调酒,275,3.8,235,56,0,0,11.5,11.0,15,
69,RIO,强爽伏特加果汁,调制酒/预调酒,330,8.0,320,76,0,0,10.0,9.5,20,较高酒精度
70,百加得,百加得朗姆预调,调制酒/预调酒,275,5.0,255,61,0,0,12.0,11.5,18,
71,冰锐,苹果味预调酒,调制酒/预调酒,330,4.0,220,53,0,0,11.5,11.0,12,
72,冰锐,西柚味预调酒,调制酒/预调酒,330,4.0,215,51,0,0,11.0,10.5,12,
73,白兰地,马爹利VSOP,白兰地,700,40.0,930,222,0,0,0,0,0,法国干邑
74,威士忌,芝华士12年,苏格兰威士忌,700,40.0,930,222,0,0,0.5,0,0,
75,日本清酒,月桂冠清酒,清酒,720,14.5,365,87,0.3,0,4.0,0,10,日本清酒
76,伏特加,斯米诺红标,伏特加,700,40.0,930,222,0,0,0,0,0,
77,金酒,必富达金酒,金酒,700,40.0,930,222,0,0,0.5,0,0,伦敦干金酒
78,梅子酒,贺木酒造梅酒(日本进口),梅酒,720,12.0,540,129,0.1,0,15.0,14.5,5,含梅汁糖分
79,龙舌兰,豪帅银标龙舌兰,龙舌兰酒,700,38.0,883,211,0,0,0.5,0,0,
80,力娇酒/利口酒,百利甜酒,奶油利口酒,700,17.0,750,179,1.5,2.5,25.0,24.0,20,高糖高脂
81,果酒,宁夏枸杞果酒,果酒,500,10.0,380,91,0.2,0,10.0,9.5,8,低度果酒
82,杨梅酒,浙江杨梅酒,果酒,500,12.0,420,100,0.2,0,8.0,7.5,8,
83,高粱酒,金门高粱酒(台湾),高粱白酒,600,58.0,1354,323,0,0,0.3,0,0,台湾特产
84,燕麦啤酒,三得利全麦啤酒,拉格啤酒,330,5.0,180,43,0.5,0,4.2,0,12,
85,泡泡酒/低泡,艾丁格白啤(德国),白啤,500,5.1,185,44,0.5,0,4.8,0,12,德国进口
86,苹果酒/西打,爱尔兰苹果西打,苹果酒,330,4.5,210,50,0.1,0,10.0,9.5,10,含苹果汁
87,格瓦斯,娃哈哈格瓦斯,麦芽发酵饮料,500,0.5,125,30,0,0,7.0,7.0,15,酒精度<1%
88,椰子酒(进口),椰子酒,果酒,275,5.0,195,47,0.2,0,8.0,7.5,8,含椰汁
89,酸奶酒,酸奶型含酒精饮料,调制酒/预调酒,275,4.5,280,67,2.0,1.5,10.0,9.5,35,含酸奶
90,RIO,微醺零卡果冻酒,调制酒/预调酒,210,3.8,80,19,0,0,2.0,0,10,赤藓糖醇代糖 低热量
