编号,品牌,商品名,类别,规格,能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),钙(mg/100g),备注
58,天润,浓缩酸奶(新疆),全脂原味酸奶,100g,450,107,5.0,5.0,10.0,9.5,80,120,每100g 新疆浓缩风味
59,卡士,1911原味酸奶,全脂原味酸奶,100g,420,100,4.5,5.0,9.5,9.0,70,115,每100g 低温发酵
60,简爱,原味无添加酸奶,无糖酸奶,100g,258,62,3.5,3.2,4.5,4.5,60,105,每100g 无添加剂
61,新希望,活润活菌酸奶,益生菌酸奶,200g,380,91,2.9,3.0,12.5,12.0,65,100,每100g 含活性益生菌
62,伊利,畅轻低脂酸奶,低脂酸奶,200g,295,71,3.0,1.5,11.5,11.0,65,100,每100g
63,养乐多,原味乳酸菌饮料,乳酸菌饮料,100ml,268,64,1.5,0.1,14.6,14.0,55,50,每100ml 每瓶100ml
64,味全,活菌型乳酸菌饮料,乳酸菌饮料,500ml,260,62,1.5,0.1,13.5,13.0,50,45,每100ml
65,光明,益优乳酸菌饮料,乳酸菌饮料,330ml,265,63,1.8,0.5,13.0,12.5,55,50,每100ml
66,蒙牛,优益C活菌型,乳酸菌饮料,330ml,265,63,1.5,0.5,13.0,12.5,60,45,每100ml
67,伊利,每益添乳酸菌,乳酸菌饮料,340ml,265,63,1.5,0.5,13.2,12.8,55,45,每100ml
68,Oatly,燕麦奶醇厚(瑞典),燕麦奶,1000ml,245,59,1.0,3.0,6.5,4.0,42,120,每100ml 强化钙和维D
69,Oatly,燕麦奶低脂,燕麦奶,1000ml,180,43,1.5,1.5,5.5,3.5,60,120,每100ml
70,Oatly,咖啡大师燕麦奶,燕麦奶,1000ml,250,60,1.0,3.5,6.0,3.5,55,120,每100ml 适合咖啡拉花
71,每日盒子,燕麦奶,燕麦奶,250ml,230,55,1.2,2.5,7.0,4.0,40,120,每100ml
72,麦梦,燕麦奶,燕麦奶,250ml,235,56,1.0,2.8,6.8,4.0,45,120,每100ml
73,谷物星球,燕麦奶,燕麦奶,250ml,240,57,1.2,2.5,7.2,4.5,42,120,每100ml
74,薇欧,杏仁奶,杏仁奶,1000ml,170,41,0.5,1.5,6.0,5.0,80,240,每100ml 强化钙
75,三元,杏仁奶,杏仁奶,250ml,175,42,0.8,1.8,6.2,5.5,75,230,每100ml
76,蒙牛,杏仁奶,杏仁奶,250ml,170,41,0.5,1.5,6.0,5.2,80,200,每100ml
77,小麦先生,杏仁奶,杏仁奶,250ml,168,40,0.6,1.5,5.8,5.0,75,200,每100ml
78,维他奶,原味豆奶,豆奶,250ml,221,53,3.5,1.6,7.5,7.0,55,80,每100ml
79,维他奶,巧克力豆奶,豆奶,250ml,280,67,3.0,2.0,11.0,10.5,80,80,每100ml
80,豆本豆,原味豆奶,豆奶,250ml,210,50,3.0,1.5,7.0,6.5,50,80,每100ml 非转基因大豆
81,九阳,甜豆浆,豆奶,250ml,220,53,3.0,1.5,8.0,7.5,55,80,每100ml
82,达利,豆本豆有机豆奶,豆奶,250ml,215,51,3.0,1.8,7.0,6.0,50,80,每100ml
83,伊利,植选豆奶,豆奶,250ml,200,48,3.5,1.0,6.0,5.5,55,80,每100ml
84,椰树,椰汁,椰奶,245ml,222,53,0.6,2.6,7.5,7.0,35,55,每100ml 纯椰汁
85,菲诺,厚椰乳,椰奶/椰浆,500ml,950,227,1.5,22.0,5.5,5.0,20,20,每100ml 高脂浓缩椰乳 烹饪/咖啡用
86,椰满满,椰奶,椰奶,250ml,320,76,1.0,6.0,8.0,7.5,35,25,每100ml
87,盒马,椰浆,椰奶/椰浆,400ml,850,203,1.5,20.0,5.0,4.5,25,20,每100ml 浓缩椰浆
88,六个核桃,核桃乳,坚果奶,240ml,250,60,1.5,3.0,8.5,8.0,45,60,每100ml
89,承德露露,杏仁露,坚果奶,240ml,213,51,1.2,2.0,7.5,7.0,30,50,每100ml
90,黑牛,黑芝麻豆奶,豆奶,250ml,310,74,3.0,3.0,10.0,9.5,60,100,每100ml 黑豆黑芝麻
91,Oatly,燕麦奶咖啡师版,燕麦奶,1000ml,250,60,1.0,3.5,6.5,4.0,55,120,每100ml Barista Edition 适合拉花
92,植得,燕麦奶咖啡师,燕麦奶,1000ml,238,57,1.2,2.8,6.8,4.0,42,120,每100ml
93,盒马,燕麦奶,燕麦奶,1000ml,230,55,1.0,2.5,7.0,4.2,40,120,每100ml
94,蒙牛,未来星儿童酸奶,风味酸奶,100g,380,91,3.0,3.5,12.5,12.0,75,115,每100g 儿童专属
95,爱克林,原味儿童酸奶,全脂原味酸奶,200g,280,67,3.0,2.0,10.0,9.5,65,100,每100g
96,认养一头牛,悦鲜活鲜牛奶,高端全脂牛奶,450ml,285,68,3.2,3.8,4.8,4.8,62,108,每100ml 低温短保
97,澳亚牧场,全脂牛奶,全脂纯牛奶,950ml,290,69,3.3,4.0,4.9,4.9,62,108,每100ml
98,宝岛奶业,台式鲜奶(风味牛奶),调制乳,500ml,285,68,3.2,3.8,4.8,4.8,60,105,每100ml 台湾风味全脂
99,蒙牛,特仑苏有机娟姗低温鲜奶,娟姗牛奶,950ml,375,90,4.0,5.5,4.5,4.5,62,128,每100ml 低温短保
100,完达山,呦呦儿童酸奶,风味酸奶,100g,390,93,2.8,3.2,13.5,13.0,70,110,每100g 儿童配方
