编号,品牌,商品名,类别,规格(ml/杯),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
79,霸王茶姬,燃气乌龙气泡,现制气泡茶,500,84,20,1.0,1.0,2.0,1.5,35,低热量 含气泡
80,茶百道,芝士芒果奶盖,现制奶茶,500,234,56,1.5,3.5,8.0,7.5,70,含芝士奶盖
81,瑞幸咖啡,拿铁(燕麦奶/大杯),现制咖啡,480,167,40,1.5,2.5,6.0,4.5,45,燕麦奶选项
82,星巴克,馥芮白(大杯),现制咖啡,355,234,56,3.5,3.8,5.5,5.0,70,约200kcal/355ml 双份浓缩
83,Manner,美式(无糖),现制咖啡,480,13,3,0.3,0,0.5,0,8,约15kcal/杯
84,古茗,椰奶奶茶,现制奶茶,500,209,50,1.0,2.5,8.0,7.5,55,约250kcal/杯
85,茶百道,芋泥奶茶,现制奶茶,500,250,60,1.5,2.5,11.0,9.5,70,含芋泥约300kcal/杯
86,蜜雪冰城,满杯芒果冰淇淋红茶,现制奶茶,700,167,40,1.0,1.5,7.5,7.0,35,约280kcal/700ml
87,霸王茶姬,大红袍鲜奶茶,现制奶茶,500,117,28,1.5,2.2,2.8,2.5,45,约140kcal/杯 不另外加糖
88,沪上阿姨,燕麦拿铁,现制咖啡,500,163,39,1.5,2.0,6.0,5.0,45,约195kcal/杯
89,七分甜,奶茶原味,现制奶茶,500,230,55,1.5,2.5,9.5,9.0,65,约275kcal/杯
90,奈雪的茶,燕麦拿铁,现制咖啡,480,174,42,2.0,2.5,6.0,5.0,55,约200kcal/480ml
91,皇茶ROYALTEA,鸳鸯奶茶,现制奶茶,500,242,58,1.5,2.5,9.5,9.0,70,茶咖混合 约290kcal/杯
92,奈雪的茶,熟芝士奶茶,现制奶茶,500,270,65,2.0,4.0,8.5,7.5,80,约325kcal/杯 含烤芝士奶盖
93,瑞幸咖啡,生酪拿铁,现制咖啡,480,217,52,2.5,3.5,5.5,5.0,75,约250kcal/480ml
94,星巴克,冷萃奶泡(大杯),现制咖啡,473,230,55,2.5,3.0,7.0,6.5,70,约260kcal/473ml 含奶泡
95,Manner,生椰拿铁,现制咖啡,480,188,45,1.5,3.0,5.0,4.5,50,约215kcal/480ml
96,瑞幸咖啡,馥芮白,现制咖啡,480,200,48,2.5,3.2,5.0,4.5,65,约240kcal/480ml 双份Ristretto
97,古茗,柠檬茶(无糖),现制果茶,500,17,4,0,0,0.8,0,5,约20kcal/杯 无糖柠檬茶
98,霸王茶姬,青绿(绿茶拿铁),现制奶茶,500,109,26,1.5,2.0,2.5,2.0,40,约130kcal/杯
99,隅田川,拿铁咖啡(瓶装),即饮咖啡,250,260,62,2.0,2.8,8.5,8.0,70,
100,雀巢,丝滑拿铁即饮,即饮咖啡,250,290,69,2.0,3.0,9.5,9.0,80,
